# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	5390
#@/user_id	arsiendle_ph
a;ka 	啊	c=9 d=1.45172 t=5390
ba;kb 	吧	c=16 d=0.791579 t=5390
biàn;wy,yy 	变	c=3 d=0.255381 t=5390
biàn;wy,yy chéng;gg,wg 	变成	c=8 d=0.673361 t=5390
biàn;wy,yy huí;kk 	变回	c=1 d=0.71177 t=5390
biàn;wy,yy le;aa,vu 	变了	c=1 d=0.00124951 t=5390
biàn;wy,yy liàng;ol 	变量	c=3 d=0.900325 t=5390
biàn;wy,yy xíng;pk 	变形	c=1 d=0.822835 t=5390
biàn;zb 	遍	c=1 d=0.0026852 t=5390
biè;dl niǔ;fi 	别扭	c=1 d=0.612626 t=5390
bié;dl 	别	c=2 d=0.0889928 t=5390
bié;dl de;bu 	别的	c=1 d=0.767206 t=5390
bié;dl kàn;ou,uo 	别看	c=1 d=0.0309618 t=5390
bié;dl rén;pd 	别人	c=3 d=2.57098 t=5390
bié;dl shuō;yd huà;yu 	别说话	c=4 d=0.457563 t=5390
biān;sb mǎ;um 	编码	c=2 d=0.288808 t=5390
biāo;mu zhǔn;dv 	标准	c=2 d=8.96247e-10 t=5390
biǎo;fy dá;zd 	表达	c=1 d=0.000599149 t=5390
bà;fb ba;fb 	爸爸	c=1 d=7.35846e-10 t=5390
bà;sq le;aa,vu 	罢了	c=1 d=1.13373e-06 t=5390
bàn;bf chéng;gg,wg pǐn;kk 	半成品	c=1 d=0.362402 t=5390
bàn;lb fǎ;dq 	办法	c=1 d=1.07843e-06 t=5390
bào;fy cuò;jx 	报错	c=1 d=0.01649 t=5390
bào;fy gào;kn,nk 	报告	c=2 d=0.0418223 t=5390
bá;fb,fy xià;ab,ad lái;am,wb 	拔下来	c=1 d=0.752014 t=5390
bái;pa,po tiān;ad 	白天	c=2 d=0.198815 t=5390
bèi;ob jǐng;oj 	背景	c=3 d=0.332165 t=5390
bèi;rk,rp sù;zu 	倍速	c=1 d=0.0343896 t=5390
